Name,Age,PA,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
Kevin Alcantara,23,3,-0.2,0.0,3,0.0,0.1,0.0,.56,0.0,0.1,0.0%,0.0%,0.0%,.60,0.0%,-0.3,0.0,1.00,-0.1,0.35,1,alcanke01
Miguel Amaya,27,92,1.9,0.2,94,0.3,1.5,-1.3,.94,0.3,0.0,0.0%,0.9%,-0.9%,1.03,-0.2%,2.3,0.2,1.02,2.9,,1,amayami01
Moises Ballesteros,22,140,2.5,0.3,144,0.5,2.4,-1.9,.86,0.3,0.3,0.2%,1.4%,-1.2%,.92,0.1%,6.2,0.6,0.95,4.0,3.15,6,ballemo01
Alex Bregman,32,251,2.8,0.3,261,0.5,4.4,-3.9,1.00,-0.2,0.7,0.3%,3.0%,-2.7%,1.11,0.4%,-2.6,-0.3,0.97,-1.5,2.02,1,bregmal01
Michael Busch,28,243,8.2,0.8,250,1.6,5.4,-3.8,1.01,1.1,0.4,1.0%,3.4%,-2.4%,1.10,0.3%,16.6,1.7,1.04,12.1,3.15,1,buschmi02
Dylan Carlson,27,4,-1.0,-0.1,4,-0.1,0.0,-0.1,1.10,-0.1,0.0,-0.1%,0.0%,-0.1%,1.10,0.0%,-1.1,-0.1,0.79,-1.2,,1,carlsdy01
Michael Conforto,33,86,7.5,0.7,87,1.3,2.6,-1.3,1.02,0.8,0.5,0.9%,1.9%,-1.0%,1.18,0.3%,4.7,0.5,0.99,7.8,0.92,14,confomi01
Pete Crow-Armstrong,24,230,-0.1,0.0,252,0.5,4.2,-3.7,.96,0.1,0.4,0.7%,3.0%,-2.2%,1.03,0.7%,0.9,0.1,1.00,-1.1,0.72,1,crowape01
Ian Happ,31,234,8.2,0.8,238,0.1,4.2,-4.1,1.10,0.3,-0.2,0.0%,2.7%,-2.7%,1.21,-0.2%,-0.1,0.0,1.05,4.4,,0,happia01
Nico Hoerner,29,252,4.1,0.4,266,0.3,4.8,-4.5,1.04,0.6,-0.4,-0.1%,2.9%,-3.0%,1.13,-0.5%,3.8,0.4,0.99,4.3,2.89,1,hoernni01
Carson Kelly,31,152,6.2,0.6,153,0.4,3.1,-2.7,1.16,0.2,0.1,-0.1%,1.7%,-1.8%,1.22,-0.3%,5.4,0.6,1.07,3.2,1.45,5,kellyca02
Scott Kingery,32,4,-0.3,0.0,5,0.0,0.0,0.0,1.57,0.0,0.0,0.0%,0.0%,0.0%,1.76,0.0%,-1.3,-0.1,1.60,-0.6,0.03,1,kingesc01
Nicky Lopez,31,5,-1.3,-0.1,6,0.0,0.1,-0.1,1.00,-0.1,0.1,0.0%,0.1%,-0.1%,1.12,0.0%,-0.7,-0.1,1.10,-0.9,0.06,2,lopezni01
Pedro Ramirez,22,8,0.4,0.0,8,-0.1,0.2,-0.2,1.26,0.0,0.0,0.0%,0.2%,-0.2%,1.76,0.0%,0.2,0.0,0.88,-0.1,0.28,1,ramirpe01
Matt Shaw,24,104,0.1,0.0,110,-0.8,1.1,-1.9,.92,-0.1,-0.8,-0.5%,0.6%,-1.1%,.83,-0.6%,-2.7,-0.3,1.05,-1.1,0.32,12,shawma01
Seiya Suzuki,31,178,3.0,0.3,178,-1.4,2.7,-4.1,1.21,-0.1,-1.0,-1.1%,1.8%,-2.9%,1.39,-0.7%,-6.6,-0.7,1.09,-0.9,,3,suzukse01
Dansby Swanson,32,210,-2.5,-0.3,219,-0.5,3.1,-3.6,1.00,-0.3,-0.2,-0.6%,1.9%,-2.4%,1.07,-0.3%,-0.5,0.0,0.99,-2.5,,0,swansda01
League Average,,,,,,,,,.98,,,,,,.90,,,,,,,,-9999
Team Total,28.8,2196,39.6,3.9,2278,2.4,39.8,-37.3,1.03,2.8,-0.4,0.7%,25.4%,-24.7%,1.12,-1.0%,24.4,2.5,1.02,28.7,1.03,51,-9999
