Rk,Player,Age,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
1,Pete Crow-Armstrong,24,230,-1,1,1,12,2,15,1.5,8,23,2.3,.528,.510,1.0,1.4,11,*8/H,,crowape01
2,Nico Hoerner,29,252,5,1,0,5,2,13,1.4,8,21,2.1,.525,.509,1.6,0.7,16,*4/6H,,hoernni01
3,Ian Happ,31,234,9,-1,1,2,-2,9,0.9,8,16,1.6,.518,.506,1.4,0.0,14,*7/D,,happia01
4,Dansby Swanson,32,210,-1,3,0,1,3,7,0.7,7,14,1.3,.513,.504,1.3,0.4,13,*6/D,,swansda01
5,Michael Busch,28,243,8,-1,1,0,-2,5,0.5,8,13,1.2,.509,.503,1.3,-0.3,13,*3/H,,buschmi02
6,Carson Kelly,31,152,6,0,0,-2,2,7,0.7,5,12,1.2,.517,.504,1.4,0.0,14,2/H3D,,kellyca02
7,Alex Bregman,32,251,3,0,0,0,1,4,0.4,8,12,1.1,.507,.502,1.1,0.1,12,*5/DH,,bregmal01
8,Seiya Suzuki,31,178,3,-1,0,2,-2,3,0.3,6,9,0.9,.508,.502,0.7,0.0,7,9/DH,,suzukse01
9,Miguel Amaya,27,92,3,0,-1,1,1,5,0.5,3,8,0.8,.516,.503,0.7,0.2,7,2/DH3,,amayami01
10,Michael Conforto,33,86,7,1,0,-2,-2,4,0.4,3,7,0.6,.511,.502,0.9,-0.4,8,DH/97,,confomi01
11,Moises Ballesteros,22,140,2,0,1,0,-3,0,0.0,5,5,0.4,.500,.500,0.5,-0.4,5,*D/H2,,ballemo01
12,Matt Shaw,24,104,0,0,0,1,-1,0,-0.1,4,3,0.3,.499,.500,0.2,0.0,2,H9/D45378,,shawma01
13,Kevin Alcantara,23,3,0,0,0,1,0,1,0.1,0,1,0.1,.518,.500,0.0,0.1,0,/H78D,,alcanke01
14,Daniel Palencia,26,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,1,,palenda01
15,Ryan Rolison,28,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,1,,rolisry01
16,Caleb Thielbar,39,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,1,,thielca01
17,Nicky Lopez,31,5,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.483,.500,-0.1,0.0,0,/5H4,,lopezni01
18,Pedro Ramirez,22,8,0,0,0,-1,0,-1,-0.1,0,-1,-0.1,.481,.500,0.1,-0.1,1,/45H,,ramirpe01
19,Dylan Carlson,27,4,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,.425,.499,-0.1,-0.1,-1,/H79D,,carlsdy01
20,Scott Kingery,32,4,0,1,0,-2,0,-2,-0.2,0,-2,-0.2,.476,.499,0.0,-0.3,0,/HD45,,kingesc01
,Team Totals,,2196,41,5,3,17,-1,65,6.5,73,138,13.5,.512,.504,12.0,1.5,121,,,-9999
