Player,rOBA,Rbat_plus,Rbat,Rbaser,Rfield,Rpos,RAA,WAA,RAR,oWAR,dWAR,BAbip,ISO,HR_pct,SO_pct,BB_pct,EV,HardH_pct,WPA,cWPA,RE24,RS_pct,SB_pct,XBT_pct
Munetaka Murakami,0.401,157,17,-2,-1,-3,12,1.3,20,2.1,-0.4,0.274,0.324,8.4,32.6,17.6,94.4,59.5,1.1,0.6,21.80,31.5,33.3,41.7
Miguel Vargas,0.388,138,11,2,0,1,14,1.5,22,2.3,0.1,0.234,0.245,5.2,17.0,15.1,90.1,45.7,1.8,0.9,17.40,36.8,100.0,50.0
Colson Montgomery,0.352,120,5,-1,0,3,8,0.9,16,1.7,0.3,0.272,0.243,5.7,29.1,9.8,90.0,42.9,0.3,0.1,4.20,20.1,50.0,22.2
Chase Meidroth,0.335,109,3,1,2,2,8,0.9,16,1.5,0.4,0.342,0.122,2.3,22.3,11.0,86.3,38.2,0.2,0.1,2.30,39.1,50.0,35.0
Andrew Benintendi,0.288,73,-5,-1,-3,-3,-12,-1.2,-6,-0.4,-0.7,0.305,0.136,1.4,28.4,6.3,87.8,47.5,-0.3,-0.2,-5.90,31.9,100.0,33.3
Tristan Peters,0.330,100,1,1,5,1,8,0.8,12,0.8,0.6,0.328,0.108,1.1,20.2,7.9,80.9,24.5,0.5,0.3,1.10,32.7,100.0,40.0
Sam Antonacci,0.376,139,8,0,-1,-1,7,0.7,12,1.3,-0.2,0.339,0.111,1.1,14.1,7.6,87.5,38.1,0.5,0.4,7.10,38.4,63.6,62.5
Edgar Quero,0.241,39,-9,0,0,2,-7,-0.7,-3,-0.3,0.2,0.233,0.032,0.7,24.8,9.4,88.1,29.2,-0.7,-0.4,-8.10,27.2,100.0,22.2
Luisangel Acuna,0.202,4,-12,2,0,2,-10,-0.9,-6,-0.6,0.2,0.212,0.009,0.0,18.0,5.5,88.0,37.1,-1.2,-0.7,-12.40,30.0,88.9,50.0
Everson Pereira,0.339,108,1,0,-2,-1,-2,-0.2,0,0.2,-0.3,0.317,0.203,4.2,29.6,5.6,87.7,43.2,0.1,0.1,-3.21,21.1,100.0,0.0
Derek Hill,0.322,105,1,0,-2,-1,-2,-0.2,0,0.2,-0.3,0.318,0.195,4.5,27.0,11.2,81.8,35.9,0.5,0.4,-0.80,26.3,60.0,66.7
Drew Romo,0.372,130,3,0,-1,1,3,0.3,5,0.6,0.0,0.154,0.295,7.5,26.3,13.8,84.7,31.8,0.5,0.3,1.80,13.5,100.0,0.0
Jarred Kelenic,0.285,73,-2,-1,-2,-1,-5,-0.5,-3,-0.1,-0.3,0.344,0.094,1.7,33.9,10.2,95.5,54.5,-0.4,-0.2,-2.89,11.8,0.0,25.0
Austin Hays,0.234,44,-3,-1,-2,0,-5,-0.5,-4,-0.2,-0.3,0.310,0.093,2.3,29.5,2.3,87.0,50.0,-0.4,-0.3,-4.77,20.0,0.0,33.3
Reese McGuire,0.224,28,-3,0,-4,1,-6,-0.6,-5,-0.1,-0.3,0.250,0.000,0.0,27.3,6.8,72.6,9.5,-0.4,-0.2,-1.20,11.1,0.0,0.0
Randal Grichuk,0.468,198,5,0,1,-1,5,0.6,6,0.7,0.0,0.319,0.346,10.7,16.1,3.6,91.3,38.7,0.7,0.6,4.10,11.2,0.0,33.3
Tanner Murray,0.311,91,0,0,0,0,0,0.0,1,0.1,0.0,0.238,0.107,3.0,21.2,6.1,85.6,43.5,-0.2,-0.1,-0.36,11.1,0.0,66.7
Lenyn Sosa,0.224,30,-4,0,-1,-1,-5,-0.5,-4,-0.3,-0.2,0.268,0.068,0.0,22.7,0.0,90.7,42.4,-0.2,-0.1,-3.50,24.0,0.0,0.0
Dustin Harris,0.408,137,1,1,0,0,2,0.2,3,0.3,0.0,0.276,0.087,0.0,7.1,17.9,85.5,18.4,0.5,0.3,2.60,28.8,100.0,100.0
Rikuu Nishida,0.249,48,0,0,2,0,2,0.2,2,0.0,0.2,0.400,0.000,0.0,25.0,0.0,89.9,20.1,-0.1,0.0,-0.50,50.0,0.0,0.0
